CRASH DATE,CRASH TIME,CRASH_DATETIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,COLLISION_ID,UNIQUE_ID,PERSON_ID,PERSON_TYPE,PERSON_INJURY,VEHICLE_ID,PERSON_AGE,EJECTION,EMOTIONAL_STATUS,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,COMPLAINT,PED_ROLE,PERSON_SEX,YEAR,INJURY_TYPE
2022-03-26,23:00:00,2022-03-26 23:00:00,QUEENS,11420,40.676304,-73.816284,"(40.676304, -73.816284)",,,0.0,0.0,0,0,0,0,0,0,ALCOHOL INVOLVEMENT,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4513952,12165235,BF4FB2CC-125A-4DBB-A177-4E020401700E,OCCUPANT,UNSPECIFIED,20187497.0,,,,,,,,REGISTRANT,,2022,MOTORIST
2021-07-03,10:18:00,2021-07-03 10:18:00,QUEENS,11691,40.59723,-73.76237,"(40.59723, -73.76237)",DEERFIELD ROAD,BEACH 29 STREET,1.0,0.0,0,0,0,0,1,0,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4456692,11945467,055F920A-F52B-41FA-90ED-6B16D5605066,OCCUPANT,UNSPECIFIED,20060429.0,36.0,,,,,,,REGISTRANT,F,2021,MOTORIST
2021-07-06,09:37:00,2021-07-06 09:37:00,NONE,,40.744526,-73.77161,"(40.744526, -73.77161)",CLEARVIEW EXPRESSWAY,,2.0,0.0,0,0,0,0,2,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,BOX TRUCK,BOX TRUCK,4456646,11946099,66E5ABB1-ADC0-45CF-937A-7B0DF9D69F21,OCCUPANT,UNSPECIFIED,20060823.0,,,,,,,,REGISTRANT,,2021,MOTORIST
2021-04-13,17:55:00,2021-04-13 17:55:00,BRONX,10452,40.844105,-73.923065,"(40.844105, -73.923065)",GRANT HIGHWAY,UNIVERSITY AVENUE,1.0,0.0,0,0,1,0,0,0,PEDESTRIAN/BICYCLIST/OTHER PEDESTRIAN ERROR/CONFUSION,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,BIKE,4407789,11810247,350D1AF6-6F42-436A-B244-8DBCBE8330FD,BICYCLIST,INJURED,19980938.0,15.0,NOT EJECTED,CONSCIOUS,HIP-UPPER LEG,DRIVER,,COMPLAINT OF PAIN OR NAUSEA,DRIVER,M,2021,CYCLIST
2021-04-16,17:50:00,2021-04-16 17:50:00,QUEENS,11368,40.74661,-73.86473,"(40.74661, -73.86473)",,,0.0,0.0,0,0,0,0,0,0,ALCOHOL INVOLVEMENT,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4408208,11798721,9DEFA863-00A3-47D3-8595-0A9836ECF6CF,OCCUPANT,UNSPECIFIED,19974196.0,56.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-04-15,07:34:00,2021-04-15 07:34:00,NONE,,40.756725,-73.96,"(40.756725, -73.96)",FDR DRIVE,,0.0,0.0,0,0,0,0,0,0,REACTION TO UNINVOLVED VEHICLE,UNSPECIFIED,SEDAN,SEDAN,4407605,11754923,F41CECA1-0DD7-4161-81FC-C3F2D29A5044,OCCUPANT,UNSPECIFIED,19948770.0,53.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,UNKNOWN,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-04-15,16:03:00,2021-04-15 16:03:00,NONE,,40.841084,-73.937935,"(40.841084, -73.937935)",WEST 169 STREET,,2.0,0.0,0,0,0,0,2,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,SEDAN,SEDAN,4407654,11751971,EBE04348-0B1E-4EC7-A037-6B188A919C39,OCCUPANT,INJURED,19947102.0,29.0,NOT EJECTED,CONSCIOUS,NECK,DRIVER,LAP BELT & HARNESS,COMPLAINT OF PAIN OR NAUSEA,DRIVER,M,2021,MOTORIST
2021-02-03,08:50:00,2021-02-03 08:50:00,BRONX,10472,40.835835,-73.877365,"(40.835835, -73.877365)",,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,,STATION WAGON/SPORT UTILITY VEHICLE,,4408565,11645568,9CA31451-D548-4F19-8D12-4C9968506438,OCCUPANT,UNSPECIFIED,19885326.0,34.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-04-18,23:56:00,2021-04-18 23:56:00,NONE,,40.770527,-73.98012,"(40.770527, -73.98012)",CENTRAL PARK WEST,,0.0,1.0,0,1,0,0,0,0,UNSPECIFIED,,SEDAN,,4408695,11745871,D04F5BAA-26EF-44D0-8D07-6065C861B704,OCCUPANT,UNSPECIFIED,19943633.0,28.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,UNKNOWN,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-04-18,16:38:00,2021-04-18 16:38:00,QUEENS,11106,40.76197,-73.92539,"(40.76197, -73.92539)",31 STREET,BROADWAY,3.0,0.0,0,0,0,0,3,0,DRIVER INEXPERIENCE,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4408384,11810218,A38C69A5-7E08-4104-9C81-C49E3A5EBB36,OCCUPANT,UNSPECIFIED,19980919.0,,,,,,,,REGISTRANT,F,2021,MOTORIST
